"code
culture",libelle culture,"identifiant
groupe culture","code groupe
culture","libelle groupe
culture","code groupe
intermédiaire","libelle groupe
intermédiaire",id_group,id
PTR,autre_prairie_temporaire,19,pt,prairies_temporaires,pt,prairies_temporaires,37,188
RGA,ray_grass_temporaire,19,pt,prairies_temporaires,pt,prairies_temporaires,37,189
AGR,agrume,20,verg,vergers,verg,vergers,38,190
ANA,ananas,20,verg,vergers,verg,vergers,38,191
AVO,avocat,20,verg,vergers,verg,vergers,38,192
BCA,banane_creole_fruit_legume_autre,20,verg,vergers,verg,vergers,38,193
BCF,banane_creole_fruit_legume_fermage,20,verg,vergers,verg,vergers,38,194
BCI,banane_creole_fruit_legume_indivision,20,verg,vergers,verg,vergers,38,195
BCP,banane_creole_fruit_legume_propriete,20,verg,vergers,verg,vergers,38,196
BCR,banane_creole_fruit_legume_reforme_fonciere,20,verg,vergers,verg,vergers,38,197
BEA,banane_export_autre,20,verg,vergers,verg,vergers,38,198
BEF,banane_export_fermage,20,verg,vergers,verg,vergers,38,199
BEI,banane_export_indivision,20,verg,vergers,verg,vergers,38,200
BEP,banane_export_propriete,20,verg,vergers,verg,vergers,38,201
BER,banane_export_reforme_fonciere,20,verg,vergers,verg,vergers,38,202
CAC,cafe_cacao,20,verg,vergers,verg,vergers,38,203
CBT,cerise_bigarreau_transfo,20,verg,vergers,verg,vergers,38,204
PFR,petit_fruit_rouge,20,verg,vergers,verg,vergers,38,205
PRU,prune_ente_transfo,20,verg,vergers,verg,vergers,38,206
PVT,peche_pavie_transfo,20,verg,vergers,verg,vergers,38,207
PWT,poire_williams_transfo,20,verg,vergers,verg,vergers,38,208
VGD,verger_dom,20,verg,vergers,verg,vergers,38,209
VRG,verger,20,verg,vergers,verg,vergers,38,210
RVI,restructuration_vignoble,21,vign,vignes,vign,vignes,39,211
VRC,vigne_cuve,21,vign,vignes,vign,vignes,39,212
VRN,vigne_cuve_non_prod,21,vign,vignes,vign,vignes,39,213
VRT,vigne_table,21,vign,vignes,vign,vignes,39,214
CAB,caroube,22,fruit_coq,fruits_a_coque,fruit_coq,fruits_a_coque,40,215
CTG,chataigne,22,fruit_coq,fruits_a_coque,fruit_coq,fruits_a_coque,40,216
NOS,noisette,22,fruit_coq,fruits_a_coque,fruit_coq,fruits_a_coque,40,217
NOX,noix,22,fruit_coq,fruits_a_coque,fruit_coq,fruits_a_coque,40,218
PIS,pistache,22,fruit_coq,fruits_a_coque,fruit_coq,fruits_a_coque,40,219
OLI,oliveraie,23,oliv,oliviers,oliv,oliviers,41,220
AAR,plante_a_non_perennes,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,221
AME,plante_a_parfum_medicinale_non_perenne,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,222
ANE,aneth,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,223
ANG,angelique,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,224
ANI,anis,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,225
ARP,plante_aromatique_perenne_autre_que_vanille,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,226
BAR,bardane,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,227
BAS,basilic,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,228
BRH,bourrache_temporaire,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,229
CAV,carvi,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,230
CHR,chardon_marie,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,231
CIB,ciboulette,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,232
CML,cameline,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,233
CMM,camomille,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,234
CRD,coriandre,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,235
CRF,cerfeuil,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,236
CUM,cumin,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,237
CUR,curcuma,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,238
EST,estragon,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,239
FNO,fenouil,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,240
FNU,fenugrec,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,241
HBL,houblon,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,242
LAV,lavande_lavandin,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,243
MAV,mauve,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,244
MLI,melisse,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,245
MLP,millepertuis,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,246
MOT,moutarde,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,247
MRJ,marjolaine_origan,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,248
MTH,menthe,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,249
ORT,ortie,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,250
OSE,oseille,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,251
PAR,plante_aromatique_autre_que_vanille,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,252
PMD,plante_medicinale,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,253
PME,plante_medicinale_perenne,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,254
PPA,autre_plante_a_parfum_aromatique_medicinale_annuelle,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,255
PPF,plante_a_parfum_autre,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,256
PPP,autre_plante_a_parfum_aromatique_medicinale_perenne,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,257
PRF,plante_a_parfum_perenne,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,258
PSL,persil,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,259
PSN,psyllium_noir_provence,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,260
PSY,plantain_psyllium,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,261
ROM,romarin,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,262
SGE,sauge,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,263
SRI,sarriette,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,264
TAB,tabac,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,265
THY,thym,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,266
TOT,tomate_transfo,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,267
VAL,valeriane,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,268
VNB,vanille_sous_bois,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,269
VNL,vanille,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,270
VNV,vanille_verte,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,271
YLA,ylang_ylang,24,a_indus,autres_cult_indus,a_indus,autres_cult_indus,42,272
BTN,betterave_non_fourragere,24,a_indus,autres_cult_indus,BTN,betterave_non_fourragere,43,273
AIL,ail,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,274
ART,artichaut,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,275
AUB,aubergine,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,276
BLT,bleuet,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,277
BUR,bugle_rampante,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,278
CAR,carotte,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,279
CCN,concombre_cornichon,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,280
CCT,courgette_citrouille,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,281
CEL,celeri,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,282
CES,chicoree_endive_scarole,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,283
CHU,chou,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,284
CMB,courge_musquee_butternut,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,285
CRA,cresson_alenois_temporaire,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,286
CRN,cornille,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,287
CRS,cresson,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,288
CSS,culture_sous_serre_hors_sol,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,289
DOL,dolique,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,290
EPI,epinard,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,291
FLA,autre_legume_ou_fruit_annuel,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,292
FLP,autre_legume_ou_fruit_perenne,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,293
FRA,fraise,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,294
GER,geranium,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,295
HPC,horticulture_ornementale_plein_champ,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,296
HSA,horticulture_ornementale_sous_abri,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,297
LBF,salade,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,298
LSA,legume_sous_abri,25,leg_fl,legumes_fleurs,leg_fl,legumes_fleurs,44,299
