"ID","haie_cover","haie_biomass_kg","haie_biomass_kgperha","haie_nutzung_ha","haie_nutzung_perc","haie_nutzung_length_m","haie_bdhaie_length_m","haie_bdhaie_ha","haie_bdhaie_perc"
"BIOMHE_2_2020",23.1472148895264,19887.130859375,13499.2131869891,NA,NA,NA,121.736288062334,0.121736288062334,6.07040784792257
"BIOMHE_3_2020",22.3283977508545,18313.080078125,14221.1179747688,NA,NA,NA,214.626713365183,0.214626713365183,11.2778341486
"BIOMHE_5_2020",6.73187065124512,18798.798828125,4425.95795707088,NA,NA,NA,324.037282360164,0.324037282360164,6.33545025079712
"BIOMHE_6_2020",0.414135485887527,276.000335693359,102.290251148211,NA,NA,NA,80.9406972116354,0.0809406972116354,2.20121698363254
"BIOMHE_7_2020",5.74874258041382,11053.7529296875,2999.33438320347,NA,NA,NA,514.877328105224,0.514877328105224,11.4224533874684
"BIOMHE_8_2020",5.14813375473022,15666.791015625,4105.07114566843,NA,NA,NA,194.50280519149,0.19450280519149,4.10717198452301
"BIOMHE_9_2020",3.38345003128052,9883.1962890625,4783.90944908372,NA,NA,NA,147.085373500544,0.147085373500544,5.13776363839312
"BIOMHE_10_2020",5.65216207504272,18787.0859375,2591.72267856396,NA,NA,NA,699.467140500095,0.699467140500095,8.34099738484259
"BIOMHE_11_2020",2.91917657852173,2881.263671875,912.603725117893,NA,NA,NA,249.099886094507,0.249099886094507,6.3788029812261
"BIOMHE_15_2020",5.70651006698608,11422,2536.99976341305,NA,NA,NA,618.119786868015,0.618119786868015,11.4502912262534
"BIOMHE_17_2020",1.48982071876526,12417.166015625,887.796813409469,NA,NA,NA,221.953429679041,0.221953429679041,1.41147051661985
"BIOMHE_18_2020",8.7298526763916,108403.3359375,10295.890112409,NA,NA,NA,378.092646379774,0.378092646379774,3.1311989717554
"BIOMHE_21_2020",7.70961236953735,42310.0078125,6749.03498265174,NA,NA,NA,712.187325936698,0.712187325936698,9.69408269419158
"BIOMHE_22_2020",2.16912579536438,2591.42993164062,863.511009383476,NA,NA,NA,122.001784265784,0.122001784265784,3.22326332275163
"BIOMHE_23_2020",2.33311557769775,5390.57373046875,884.753466685508,NA,NA,NA,350.87835291447,0.35087835291447,4.77519093314697
"BIOMHE_24_2020",3.63460898399353,3703.04150390625,1319.06805025544,NA,NA,NA,285.004098304323,0.285004098304323,8.12413420764004
"BIOMHE_25_2020",3.90264058113098,8341.8330078125,1644.09645409447,NA,NA,NA,401.078353536016,0.401078353536016,6.58609896032737
"BIOMHE_28_2020",41.3858451843262,32771.5703125,48246.1477934684,NA,NA,NA,377.47214198982,0.37747214198982,35.4906346967202
"BIOMHE_30_2020",2.14239072799683,11756.279296875,974.587737148036,NA,NA,NA,273.971510899172,0.273971510899172,2.00356567185627
"BIOMHE_31_2020",5.29136657714844,9818.6728515625,2293.65748015368,NA,NA,NA,648.366097258718,0.648366097258718,12.2973004383471
"BIOMHE_33_2020",15.5241260528564,9837.7216796875,7445.29207488107,NA,NA,NA,249.522717862918,0.249522717862918,13.6925728184155
"BIOMHE_34_2020",8.13601493835449,26260.501953125,6894.677861941,NA,NA,NA,173.251633945374,0.173251633945374,3.52389478534879
"BIOMHE_36_2020",6.63228797912598,37888.3359375,4801.61156568619,NA,NA,NA,786.6388874339,0.7866388874339,8.62478730001633
"BIOMHE_42_2020",20.2279148101807,14915.9521484375,9430.83354748511,NA,NA,NA,522.98946499264,0.52298946499264,24.3528161177677
"BIOMHE_43_2020",4.06101703643799,24165.21875,2555.03399271476,NA,NA,NA,826.534760730016,0.826534760730016,7.32366577162899
"BIOMHE_44_2020",4.55446243286133,1707.01525878906,1082.5595773594,NA,NA,NA,123.360457428533,0.123360457428533,5.64140124573717
"BIOMHE_45_2020",4.79857730865479,31689.017578125,3578.19695764783,NA,NA,NA,491.615334792852,0.491615334792852,4.81598557073041
"BIOMHE_47_2020",16.7282810211182,33711.12109375,12801.0683202348,NA,NA,NA,346.197581967257,0.346197581967257,10.1991405082452
"BIOMHE_49_2020",13.7501974105835,11782.068359375,11343.4955207532,NA,NA,NA,158.12310232082,0.15812310232082,10.5164578599586
"BIOMHE_50_2020",4.88257503509521,2162.39819335938,1580.58649244203,NA,NA,NA,129.1500002154,0.1291500002154,6.64738713419094
"BIOMHE_51_2020",2.25897741317749,16603.556640625,1630.60516609725,NA,NA,NA,407.146471750765,0.407146471750765,3.50979561945813
"BIOMHE_54_2020",8.40686130523682,6134.8974609375,5213.47113437092,NA,NA,NA,75.3923723588029,0.0753923723588029,4.5314191975307
"BIOMHE_57_2020",7.54216957092285,40040.03515625,6343.78985581859,NA,NA,NA,346.763201836906,0.346763201836906,4.70319013949846
"BIOMHE_58_2020",7.19059896469116,11997.4404296875,5351.56305905635,NA,NA,NA,173.951762427687,0.173951762427687,6.04093931191016
"BIOMHE_60_2020",6.83890628814697,5631.21484375,3510.16628792974,NA,NA,NA,283.382468831414,0.283382468831414,12.9977803462218
"BIOMHE_99_2020",0.699778854846954,468.621612548828,394.934094238678,NA,NA,NA,294.880828166155,0.294880828166155,16.2626077346439
"BIOMHE_12_2020",16.1347389221191,27099.01953125,12297.6665882224,NA,NA,NA,87.5617842979226,0.0875617842979226,3.04697228441686
"BIOMHE_16_2020",3.81157422065735,10875.3623046875,1649.81185984191,NA,NA,NA,227.273178457427,0.227273178457427,2.95783666449606
"BIOMHE_20_2020",4.80007839202881,6431.08642578125,1393.17617444455,NA,NA,NA,578.802714937292,0.578802714937292,10.3761479475843
"DIVAG_12AB-M_2019",11.4472217559814,14954.826171875,6588.38632216254,NA,NA,NA,352.540535082621,0.352540535082621,12.0047368097659
"DIVAG_14AB-M_2019",8.58847618103027,10402.2705078125,5587.48383200757,NA,NA,NA,217.220302033978,0.217220302033978,8.55742689981342
