id,code,name,source,grp1,code_grp1,name_grp1,grp2,code_grp2,name_grp2,keep_ag
53,OPN,autre_oleagineux_printemps_brassica_napus,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux,1
54,OPR,autre_oleagineux_printemps_brassica_rapa,rpg,7,olea,autres_oleagineux,23,olea,autres_oleagineux,1
55,SOJ,soja,rpg,7,olea,autres_oleagineux,24,SOJ,soja,1
56,FEV,feve,rpg,8,prot,proteagineux,25,prot,proteagineux,1
57,FVL,feverole_avant_juin,rpg,8,prot,proteagineux,25,prot,proteagineux,1
58,FVP,feverole_printemps,rpg,8,prot,proteagineux,25,prot,proteagineux,1
59,FVT,feverole_apres_juin,rpg,8,prot,proteagineux,25,prot,proteagineux,1
60,LDH,lupin_doux_hiver,rpg,8,prot,proteagineux,25,prot,proteagineux,1
61,LDP,lupin_doux_printemps_avant_juin,rpg,8,prot,proteagineux,25,prot,proteagineux,1
62,LDT,lupin_doux_printemps_apres_juin,rpg,8,prot,proteagineux,25,prot,proteagineux,1
63,MPC,melange_proteagineux_avant_juin,rpg,8,prot,proteagineux,25,prot,proteagineux,1
64,MPP,melange_proteagineux,rpg,8,prot,proteagineux,25,prot,proteagineux,1
65,MPT,melange_proteagineux_apres_juin,rpg,8,prot,proteagineux,25,prot,proteagineux,1
66,PAG,autre_proteagineux_autre_genre,rpg,8,prot,proteagineux,25,prot,proteagineux,1
67,PHI,pois_hiver,rpg,8,prot,proteagineux,25,prot,proteagineux,1
68,PPR,pois_printemps_avant_juin,rpg,8,prot,proteagineux,25,prot,proteagineux,1
69,PPT,pois_printemps_apres_juin,rpg,8,prot,proteagineux,25,prot,proteagineux,1
70,CHV,chanvre,rpg,9,plte_fb,plante_a_fibre,26,CHV,chanvre,1
71,CSE,chanvre_sans_etiquette,rpg,9,plte_fb,plante_a_fibre,26,CHV,chanvre,1
72,LIF,lin_fibres,rpg,9,plte_fb,plante_a_fibre,27,LIF,lin_fibres,1
73,J5M,jachere_temporaire,rpg,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod,1
74,J6P,jachere_permanente,rpg,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod,1
75,J6S,jachere_sie,rpg,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod,1
76,JAC,jachere,rpg,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod,1
77,JNO,jachere_noire,rpg,11,gel_sp,gel_sans_prod,28,gel_sp,gel_sans_prod,1
78,RIZ,riz,rpg,14,riz,riz,29,riz,riz,1
79,LEC,lentille_cultivee_non_fourragere,rpg,15,leg_gr,legumineuses_graines,30,leg_gr,legumineuses_graines,1
80,PCH,pois_chiche,rpg,15,leg_gr,legumineuses_graines,30,leg_gr,legumineuses_graines,1
81,AFG,autre_fourrage_annuel_autre,rpg,16,fou,fourrage,31,fou_autres,fourrage_autres,1
82,BVF,betterave_fourragere,rpg,16,fou,fourrage,31,fou_autres,fourrage_autres,1
